Cargo;Nome;Comitê;Ano
PRESIDENTE ; Andrey Oliveira da Cruz ; PUC-SP;2016 – 2017
DFI ; Luiza Arcas Gonçalves ; FCM Santa Casa SP;2016 – 2017
DFE ; Matheus Henrique Lopes Araújo ; UFPI;2016 – 2017
VPE ; Mário Fernando Dantas Gomes ; UFPA;2016 – 2017
VPI ; Viviane Soares Ortiz ; PUC-PR Londrina;2016 – 2017
SECRETÁRIO(A) GERAL ; Lucas Vieira de Lima ; UFPA;2016 – 2017
NEO OUT ; Maitê Silva Martins Gadelha ; UEPA – Belém;2016 – 2017
NEO IN ; Paula Pereira de Souza Reges ; SUPREMA;2016 – 2017
NORE ; Túlio Henrique Maia de Almeida Oliveira ; UPE;2016 – 2017
NONE ; Carolina Silva Delgado ; SUPREMA;2016 – 2017
NPO ; Mariana Gazolla Ribeiro ; SUPREMA;2016 – 2017
NORA ; Rafael Silveira Batista ; UNISUL;2016 – 2017
NORP ; Ingrid Paola Acioli Marques ; UFPA;2016 – 2017
NOME ; Gabriel Ferreira Lima ; UNIFACS;2016 – 2017
CB-D ; Bruna Kariny de Pereira Oliveira ; PUC-SP;2016 – 2017
PA-D ; Thiago Sousa Sampaio ; UFC – Fortaleza;2016 – 2017
PR-D ; Leonardo Guimarães de Almeida ; UCS;2016 – 2017
PRESIDENTE ; Matheus Eduardo Rodrigues ; FAMEMA;2015 – 2016
DFI ; Júlia Félix da Silva ; FAMEMA;2015 – 2016
DFE ; Edvaldo Júnior Nogueira Leal ; UESPI;2015 – 2016
VPE ; Lucas Martins Teixeira ; UESPI;2015 – 2016
VPI ; Andrey Oliveira da Cruz ; PUC-SP;2015 – 2016
SECRETÁRIO(A) GERAL ; Chahine Pereira Marinho ; UFCG;2015 – 2016
NEO OUT ; Maitê Gadelha ; UEPA – Belém;2015 – 2016
NEO IN ; Thais Iwashita Lages ; UNIMAR;2015 – 2016
NORE ; Luiza Ravanini da Cunha Claro ; USF;2015 – 2016
NONE ; Carolina Silva Delgado ; SUPREMA;2015 – 2016
NPO ; Marcello José Ferreira Silva ; UFPA;2015 – 2016
NORA ; Bárbara Caroline Caúla Sampaio ; UFC – Fortaleza;2015 – 2016
NORP ; Carlos Alberto Meneses Monteiro Filho ; UNINOVAFAPI;2015 – 2016
NOME ; Mário Fernando Dantas Gomes ; UFPA;2015 – 2016
ASD-D ; Frederico Adão de Oliveira Santana ; Alumni;2015 – 2016
PSD-D ; Tais de Lima Oliveira ; FAMEMA;2015 – 2016
PRSD-D ; Thays Brunelli Pugliesi ; PUC-SP;2015 – 2016
TSD-D ; Gabriel Pardo Silveira ; UNINOVE;2015 – 2016
PRESIDENTE ; Gustavo Fitas Manaia ; FMABC;2014 – 2015
DFI ; Renata Harumi Gobbato Yamashita ; FMUSP;2014 – 2015
DFE ; Petronio Andrade ; UFC – Sobral;2014 – 2015
VPE ; Manuel Plácido / Vacante ; FPS / ***;2014 – 2015
VPI ; Isabella Tarciana de Goes ; UFRN;2014 – 2015
SECRETÁRIO(A) GERAL ; Lilian Darlene Belotti ; FAMEMA;2014 – 2015
NEO OUT ; Diego Gardenal Alcântara ; USF;2014 – 2015
NEO IN ; Rodrigo Enrique Roa ; FPS;2014 – 2015
NORE ; Mauro Henrique Batista Camacho ; UFRJ;2014 – 2015
NONE ; Maria Helena de Sá Lima / Vacante ; USF / ***;2014 – 2015
NPO ; Jacqueline Forti de Creddo ; UNINOVE;2014 – 2015
NORA ; Renan Lucena ; FPS;2014 – 2015
NORP ; Filipe Levy Leite Visgueira ; UNINOVAFAPI;2014 – 2015
NOME ; Lucas Rodrigues de Souza ; UFC – Sobral;2014 – 2015
PRESIDENTE ; Raphael Vitor Leal de Carvalho ; UFRR;2013 – 2014
DFI ; Ingrid Buttenbenden ; UFRR;2013 – 2014
DFE ; Luiza Correa ; UNISUL;2013 – 2014
VPE ; Matheus Marques ; UFRN;2013 – 2014
VPI ; Gustavo Fitas Manaia ; FMABC;2013 – 2014
SECRETÁRIO(A) GERAL ; Yasmin El-Husny ; UEPA – Belém;2013 – 2014
NEO OUT ; Thais Vasconcelos ; UFPI;2013 – 2014
NEO IN ; Pamella Caroline Kreling ; UNIVILLE;2013 – 2014
NORE ; Kevin Mello Moreira ; FMABC;2013 – 2014
NONE ; Francisco Gleison de Albuquerque ; UFC – Sobral;2013 – 2014
NPO ; Daniel Fernandes ; UFRN;2013 – 2014
NORA ; Renan Lucena ; FPS;2013 – 2014
NORP ; Mirella Cristina ; UFRN;2013 – 2014
NOME ; Joanne Alves ; UFC – Fortaleza;2013 – 2014
PRESIDENTE ; Renato Guimarães ; UFJF;2012 – 2013
DFI ; Gabriel Mendes Corrêa da Silva ; UFJF;2012 – 2013
DFE ; Renan de Carli Sobral ; UPE;2012 – 2013
VPE ; Mariana Geraldeli Cardoso ; FAMECA;2012 – 2013
VPI ; Raphael Vitor Leal de Carvalho ; UFRR;2012 – 2013
SECRETÁRIO(A) GERAL ; Iara Andrade de Souza ; UFRN;2012 – 2013
NEO OUT ; Tatiane Aparecida Franco ; USF;2012 – 2013
NEO IN ; Sarah Abate Curi Neaime ; FAMERP;2012 – 2013
NORE ; Sergio Maia Junior ; USF;2012 – 2013
NONE ; Cesar Castello Branco Lopes ; UEL;2012 – 2013
NPO ; Arthur da Silva Barreto Mello ; UEPA;2012 – 2013
NORA ; André Luciano Manoel ; UNISUL;2012 – 2013
NORP ; Rogério Malveira Barreto ; UFC – Fortaleza;2012 – 2013
NOME ; Ana Beatriz Silva Carvalho ;  UEPA;2012 – 2013
PRESIDENTE ; Luis Felipe Machado Lauletta ; FAMERP;2011 – 2012
DIRETOR(A) FINANCEIRO(A) ; David Claro ; FAMEMA;2011 – 2012
VPE ; Daniella Gimenez Caniato ; FAMEMA;2011 – 2012
VPI ; Eduardo Oliveira de Carvalho Junior ; FPS;2011 – 2012
SECRETÁRIO(A) GERAL ; Alysson Figueredo de Brito ; UESPI;2011 – 2012
NEO OUT ; Danylo de Carvalho Martins ; UFPA;2011 – 2012
NEO IN ; João Gustavo Silva Castro Andrade ; FAMERP;2011 – 2012
NORE ; Ednor Elias Barbosa Neto ; UFRN;2011 – 2012
NONE ; José Tóvenis Fernandes Junior ; UFCG;2011 – 2012
NPO ; Arthur da Silva Barreto Mello ; UEPA;2011 – 2012
NORA ; Gabriela Cristina Moreira Galvão ; FAMEMA;2011 – 2012
NORP ; Rogério Malveira Barreto ; UFC – Fortaleza;2011 – 2012
NOME ; Guilherme Sperling Torezani ; UFRJ;2011 – 2012
PRESIDENTE ; Matheus Luis Castelan Trilico ; FAMEMA;2010 – 2011
DIRETOR(A) FINANCEIRO(A) ; Daniella Gimenez Caniato ; FAMEMA;2010 – 2011
VPE ; Frederico Adão de O. Santana ; FAMEMA;2010 – 2011
VPI ; Patrícia Constantini Kreling ; UNIVILLE;2010 – 2011
SECRETÁRIO(A) GERAL ; Henrique Gobbi Tótola ; UVV;2010 – 2011
NEO OUT ; João Gustavo Silva Castro Andrade ; FAMERP;2010 – 2011
NEO IN ; Juliana Batista R. Pereira ; FAMEMA;2010 – 2011
NORE ; Juliano Almeida ; FAMERP;2010 – 2011
NONE ; Isabela Scáruda Frizzera Gonçalves ; UFPA;2010 – 2011
NPO ; Gabriela Cristina Moreira Galvão ; FAMEMA;2010 – 2011
NORA ; Sarah Hanna de Carvalho Andrade ; UFC-Fortaleza;2010 – 2011
NORP ; Cinthia Jaqueline Baia de Souza ; UEPA;2010 – 2011
NOME ; Guilherme Sperling Torezani ; UFRJ;2010 – 2011
PRESIDENTE ; Rodrigo Aralios Neves / Larissa Fortunato Prohmann ; UEL / FAMEMA;2009 – 2010
DIRETOR(A) FINANCEIRO(A) ; Gisele de Souza Teixeira / Matheus Luis Castelan Trilico ; UEL / FAMEMA;2009 – 2010
VPE ; Juliano Almeida ; FAMERP;2009 – 2010
VPI ; José Ricardo Cavalcanti ; UFCG;2009 – 2010
NEO OUT ; Flávia Logatti ; UNAERP;2009 – 2010
NEO IN ; Juliana Batista R. Pereira ; FAMEMA;2009 – 2010
NORE ; Fábio Azevedo Fonseca ; UFPA;2009 – 2010
NONE ; Antonio de Matos Lima Neto ; UEPA;2009 – 2010
NPO ; Marina Papa Penteado ; UEL;2009 – 2010
NORA ; Carolina Esgalha Garcia ; FAMECA;2009 – 2010
NORP ; Lia Simmonetti ; UFC – Fortaleza;2009 – 2010
NOME ; Frederico Adão O. Santana / Laís Izabel Maia Melo ; FAMEMA / UFRN;2009 – 2010
PRESIDENTE ; Rodrigo Aralios Neves ; UEL;2008 – 2009
DIRETOR(A) FINANCEIRO(A) ; Bruno de Oliveira Nascimento ; UEL;2008 – 2009
VPE ; Vacante ; ***;2008 – 2009
VPI ; Fabrício Diniz de Lima ; UEPA;2008 – 2009
NEO OUT ; Susan Uemura ; UEL;2008 – 2009
NEO IN ; Marcel Izar da Costa ; FAMECA;2008 – 2009
NORE ; Hebert Félix Costa (Sansei) ; UFC – Sobral;2008 – 2009
NONE ; Amaury Pachione ; FAMEMA;2008 – 2009
NPO ; Mariana Freitas Aguiar ; UPE;2008 – 2009
NORA ; Fernanda Bastos ; FAMEMA;2008 – 2009
NORP ; Ana Débora Uchoa Soares ; UFC – Fortaleza;2008 – 2009
NOME ; Frederico Adão O. Santana ; FAMEMA;2008 – 2009
